role,description
Data Scientist,Looking for a Data Scientist with strong Python machine learning statistics data analysis SQL and deep learning knowledge. Experience in model building feature engineering and data visualization.
Machine Learning Engineer,Need an ML Engineer skilled in Python scikit-learn TensorFlow PyTorch model deployment Docker AWS and API development. Must have strong ML pipeline knowledge.
Data Analyst,Seeking Data Analyst with SQL Excel Power BI Tableau Python pandas and data visualization skills. Should perform reporting dashboarding and business insights.
Python Developer,Hiring Python Developer with skills in Python OOP Flask Django APIs MySQL Git and problem solving. Experience in backend development is required.
Web Developer,Need Web Developer with HTML CSS JavaScript React Node.js and responsive design. Experience in frontend and backend integration.
AI Engineer,Seeking AI Engineer with Python deep learning NLP computer vision transformers TensorFlow PyTorch and deployment skills. Should build AI solutions and integrate into applications.
NLP Engineer,Looking for NLP Engineer with experience in text preprocessing tokenization BERT transformers sentiment analysis named entity recognition and Python.
Computer Vision Engineer,Need Computer Vision Engineer skilled in OpenCV CNN YOLO object detection image segmentation transfer learning and deep learning frameworks.
Data Engineer,Looking for Data Engineer with SQL Python ETL pipelines Apache Spark Hadoop data warehousing AWS and data pipeline automation.
Business Analyst,Seeking Business Analyst with Excel SQL Power BI Tableau communication skills requirement gathering and reporting for business decisions.
Full Stack Developer,Hiring Full Stack Developer with HTML CSS JavaScript React Node.js Express MongoDB REST APIs Git and deployment knowledge.
DevOps Engineer,Need DevOps Engineer with Linux Docker Kubernetes CI/CD AWS Azure monitoring scripting and automation skills.
Cloud Engineer,Looking for Cloud Engineer with AWS services EC2 S3 IAM Lambda networking deployment and cloud security fundamentals.
Cyber Security Analyst,Seeking Cyber Security Analyst with networking security tools vulnerability assessment incident response Linux and basic scripting knowledge.
UI UX Designer,Looking for UI UX Designer skilled in wireframing prototyping Figma user research design thinking and responsive UI design.
